code,qty,rate,image_path
10016728,24,875.0,images\10016728.jpeg
10019275,56,1650.0,images\10019275.jpeg
10021130,32,875.0,images\10021130.jpeg
10021131,28,875.0,images\10021131.jpeg
10022091,84,1250.0,images\10022091.jpeg
10022578,60,1195.0,images\10022578.jpeg
10025103,60,1195.0,images\10025103.jpeg
10025105,47,650.0,images\10025105.jpeg
10025542,71,1170.25,images\10025542.jpeg
10025820,28,1595.0,images\10025820.jpeg
10025821,52,1595.0,images\10025821.jpeg
10026674,36,875.0,images\10026674.jpeg
10027276,12,525.0,images\10027276.jpeg
10027278,32,550.0,images\10027278.jpeg
10027279,52,550.0,images\10027279.jpeg
10027280,35,550.0,images\10027280.jpeg
10027281,52,550.0,images\10027281.jpeg
10027298,68,1150.0,images\10027298.jpeg
10027299,64,1150.0,images\10027299.jpeg
10027514,4,950.0,images\10027514.jpeg
10027542,24,875.0,images\10027542.jpeg
10027574,40,995.0,images\10027574.jpeg
10027576,40,995.0,images\10027576.jpeg
10027612,24,995.0,images\10027612.jpeg
10027632,12,750.0,images\10027632.jpeg
10027634,6,750.0,images\10027634.jpeg
10027635,6,750.0,images\10027635.jpeg
10027684,28,550.0,images\10027684.jpeg
10027703,4,750.0,images\10027703.jpeg
10027734,54,975.0,images\10027734.jpeg
10027735,57,975.0,images\10027735.jpeg
10027736,8,925.0,images\10027736.jpeg
10027757,12,1150.0,images\10027757.jpeg
10027760,31,995.0,images\10027760.jpeg
10027761,44,995.0,images\10027761.jpeg
10027806,20,625.0,images\10027806.jpeg
10027896,28,550.0,images\10027896.jpeg
10027912,28,625.0,images\10027912.jpeg
10028093,24,925.0,images\10028093.jpeg
10028130,50,850.0,images\10028130.jpeg
10028196,11,750.0,images\10028196.jpeg
10028197,15,750.0,images\10028197.jpeg
10028231,20,995.0,images\10028231.jpeg
10028257,16,775.0,images\10028257.jpeg
10028268,110,335.0,images\10028268.jpeg
10028269,72,335.0,images\10028269.jpeg
10028447,12,1325.0,images\10028447.jpeg
10028448,44,775.0,images\10028448.jpeg
10028449,52,775.0,images\10028449.jpeg
10028518,24,795.0,images\10028518.jpeg
10028520,16,795.0,images\10028520.jpeg
10028568,19,925.0,images\10028568.jpeg
10028569,11,925.0,images\10028569.jpeg
10028629,4,875.0,images\10028629.jpeg
10028630,12,875.0,images\10028630.jpeg
10028636,8,875.0,images\10028636.jpeg
10028637,16,875.0,images\10028637.jpeg
10028638,12,875.0,images\10028638.jpeg
10028639,12,875.0,images\10028639.jpeg
10028641,12,875.0,images\10028641.jpeg
10028753,12,550.0,images\10028753.jpeg
10028754,16,550.0,images\10028754.jpeg
10028755,21,550.0,images\10028755.jpeg
10028757,12,550.0,images\10028757.jpeg
10028758,32,550.0,images\10028758.jpeg
10028794,36,1095.0,images\10028794.jpeg
10028810,8,875.0,images\10028810.jpeg
10028818,16,795.0,images\10028818.jpeg
10028831,12,875.0,images\10028831.jpeg
10028845,15,1025.0,images\10028845.jpeg
10028892,24,1075.0,images\10028892.jpeg
10028959,3,1095.0,images\10028959.jpeg
10028960,15,1095.0,images\10028960.jpeg
10028961,6,1095.0,images\10028961.jpeg
10028978,8,1025.0,images\10028978.jpeg
10029028,20,1250.0,images\10029028.jpeg
10029029,12,1250.0,images\10029029.jpeg
10029034,8,850.0,images\10029034.jpeg
10029035,12,850.0,images\10029035.jpeg
10029036,20,850.0,images\10029036.jpeg
10029107,4,775.0,images\10029107.jpeg
10029110,20,995.0,images\10029110.jpeg
10029120,4,1195.0,images\10029120.jpeg
10029122,4,995.0,images\10029122.jpeg
10029123,4,995.0,images\10029123.jpeg
10029125,12,875.0,images\10029125.jpeg
10029126,12,875.0,images\10029126.jpeg
10029129,20,1150.0,images\10029129.jpeg
10029131,20,775.0,images\10029131.jpeg
10029142,4,850.0,images\10029142.jpeg
10029215,12,650.0,images\10029215.jpeg
10029228,20,750.0,images\10029228.jpeg
10029229,13,750.0,images\10029229.jpeg
10029230,4,750.0,images\10029230.jpeg
10029231,8,750.0,images\10029231.jpeg
10029232,8,750.0,images\10029232.jpeg
10029234,20,875.0,images\10029234.jpeg
10029240,8,950.0,images\10029240.jpeg
10029241,8,950.0,images\10029241.jpeg
10029242,12,695.0,images\10029242.jpeg
10029244,4,695.0,images\10029244.jpeg
10029262,12,995.0,images\10029262.jpeg
10029263,12,995.0,images\10029263.jpeg
10029270,15,575.0,images\10029270.jpeg
10029271,15,575.0,images\10029271.jpeg
10029272,10,575.0,images\10029272.jpeg
10029273,10,575.0,images\10029273.jpeg
10029274,16,625.0,images\10029274.jpeg
10029301,20,895.0,images\10029301.jpeg
10029306,8,725.0,images\10029306.jpeg
10029326,8,1025.0,images\10029326.jpeg
10029327,4,1025.0,images\10029327.jpeg
10029328,36,875.0,images\10029328.jpeg
10029329,40,875.0,images\10029329.jpeg
10029330,36,875.0,images\10029330.jpeg
10029331,4,950.0,images\10029331.jpeg
10029342,10,1075.0,images\10029342.jpeg
10029345,10,795.0,images\10029345.jpeg
10029346,5,795.0,images\10029346.jpeg
10029350,5,1125.0,images\10029350.jpeg
10029351,5,1125.0,images\10029351.jpeg
10029353,8,1125.0,images\10029353.jpeg
10029354,4,1250.0,images\10029354.jpeg
10029355,4,1250.0,images\10029355.jpeg
10029365,25,895.0,images\10029365.jpeg
10029367,12,1125.0,images\10029367.jpeg
10029369,4,1075.0,images\10029369.jpeg
10029370,12,1125.0,images\10029370.jpeg
10029409,16,850.0,images\10029409.jpeg
10029410,16,850.0,images\10029410.jpeg
10029411,8,950.0,images\10029411.jpeg
10029416,12,995.0,images\10029416.jpeg
10029417,8,995.0,images\10029417.jpeg
10029418,12,995.0,images\10029418.jpeg
10029433,4,825.0,images\10029433.jpeg
10029440,10,1125.0,images\10029440.jpeg
10029441,10,1125.0,images\10029441.jpeg
10029443,15,995.0,images\10029443.jpeg
10029444,15,995.0,images\10029444.jpeg
10029447,4,850.0,images\10029447.jpeg
10029448,4,850.0,images\10029448.jpeg
10029463,4,695.0,images\10029463.jpeg
